sira	karakter	saniye	kar_sn	metin
1	26	1.920	13.54	Elinizde bir portakal var.
2	127	8.000	15.88	Onu beş parçaya bölüyorsunuz; hiçbir parçayı germiyor, ezmiy
3	55	3.520	15.62	Sonunda masada birbirinin tam eşi iki portakal duruyor.
4	69	4.320	15.97	Bu bir hile değil, bin dokuz yüz yirmi dörtte kanıtlanmış bi
5	37	2.400	15.42	Masanın üstünde bir portakal duruyor.
6	59	3.840	15.36	Ağırlığı avucunuzda, kabuğunun gözenekleri parmak ucunuzda.
7	16	1.120	14.29	Kokusu bile var.
8	64	4.160	15.38	Şimdi size şunu söylesem: Bu portakalı beş parçaya ayırabili
9	152	9.600	15.83	Parçaları esnetmeden, germeden, hiçbirini büyütmeden, hiçbir
10	44	2.880	15.28	Ve iş bittiğinde masada iki portakal olacak.
11	44	2.880	15.28	İkisi de tam olarak baştakinin büyüklüğünde.
12	40	3.360	11.90	İkisi de içi dolu, gözeneksiz, eksiksiz.
13	60	4.480	13.39	Bunu duyan herkesin ilk tepkisi aynıdır: Bir yerde hile var.
14	127	8.000	15.88	Ya parçalar esniyordur, ya aralarına görünmez boşluklar giri
15	82	5.120	16.02	Çünkü bu iddia, hayatınız boyunca öğrendiğiniz en temel şeyl
16	80	5.120	15.62	Bir şeyi kesip tekrar birleştirdiğinizde, elinizde başladığı
17	54	3.680	14.67	Pastayı sekiz dilime bölseniz de pasta pasta kadardır.
18	14	1.440	9.72	Hacim korunur.
19	87	5.440	15.99	Bu bir inanç değil, bir gözlem; ve o gözlem şimdiye kadar bi
20	58	3.680	15.76	Ama az önce anlattığım şey bir hokkabazlık numarası değil.
21	11	1.280	8.59	Bir teorem.
22	128	8.480	15.09	bin dokuz yüz yirmi dört yılında iki Polonyalı matematikçi, 
23	78	5.120	15.23	Matematik dünyasında bu sonuç onların adıyla anılıyor: Banah
24	79	5.280	14.96	Buradaki "paradoks" sözcüğüne dikkat edin, çünkü yanlış anla
25	64	4.000	16.00	Matematikte paradoks, "sistemde bir çelişki var" demek değil
26	54	4.000	13.50	"Sonuç doğru, ama sezginiz buna dayanamıyor" demektir.
27	68	4.160	16.35	Ve bu ikisi arasındaki fark, anlatacağım her şeyin kalbinde 
28	114	6.880	16.57	Önce oyunun kurallarını netleştirelim, çünkü kurallar netleş
29	78	5.280	14.77	Matematikçi için bir top, kâğıttan ya da portakaldan yapılmı
30	17	1.280	13.28	Bir nokta kümesi.
31	73	4.000	18.25	Merkezden uzaklığı belli bir sayıdan küçük olan bütün noktal
32	18	1.440	12.50	İçi dolu bir küre.
33	95	6.240	15.22	Sonsuz sayıda nokta içeriyor; öyle çok ki, bu sonsuzluğu say
34	112	6.720	16.67	"Parçalara ayırmak" da o zaman şu demek: Bu nokta kümesini, 
35	107	6.880	15.55	Her nokta tam olarak bir parçaya gidiyor, hiçbiri iki parçad
36	132	8.000	16.50	Bir bıçak hayal etmeyin; daha çok topun içindeki her noktayı
37	37	2.400	15.42	"Hareket ettirmek" ise en sıkı kural.
38	55	3.680	14.95	İzin verilen tek şey katı hareket: öteleme ve döndürme.
39	100	6.080	16.45	Parçayı bir bütün olarak alıp başka bir yere taşıyorsunuz, y
40	68	5.120	13.28	Germek yok, büzmek yok, ölçeklendirmek yok, aynalamak bile g
41	88	5.920	14.86	Parçanın içindeki iki nokta arasındaki mesafe, hareketten so
42	79	4.800	16.46	Bu, bir fincanı masanın bir ucundan öbür ucuna kaydırmaktan 
43	159	10.560	15.06	İşte teorem bunu söylüyor: İçi dolu bir küreyi sonlu sayıda 
44	65	4.480	14.51	Ve "sonlu sayıda" derken gerçekten küçük sayılardan söz ediy
45	90	5.920	15.20	bin dokuz yüz kırk yedide Raphael Robinson bu işin beş parça
46	50	3.680	13.59	Dahası, beşin altına inilemeyeceğini de kanıtladı.
47	65	4.320	15.05	Merkezdeki tek bir noktayı hesaba katmazsanız dört parça yet
48	73	4.960	14.72	Yani bu, milyonlarca parçaya ihtiyaç duyan, sonsuza kaçan bi
49	32	2.400	13.33	Bir elin parmakları kadar parça.
50	36	2.400	15.00	Şimdi rahatsız edici soruyu soralım.
51	79	4.960	15.93	Eğer parçalar esnemiyorsa, her parçanın hacmi hareketten son
52	60	4.000	15.00	Beş parçanın hacimleri toplanınca bir topun hacmini vermeli.
