sira	karakter	saniye	kar_sn	metin
1	169	10.400	16.25	Bir masanın üstünde iki gündür bekleyen bir tutuklama emri v
2	63	4.000	15.75	Yaşlı adam odaya girip kâğıdı alıyor ve "Bu benim işim," diy
3	115	7.520	15.29	Bir zamanlar köle olan, ömrünü kanunu taşımakla geçirmiş bir
4	89	6.400	13.91	bin sekiz yüz otuz sekiz yazında, Arkansas'ın Crawford ilçes
5	62	4.320	14.35	Doğduğu anda bir adı vardı ama kendisine ait bir soyadı yokt
6	140	9.440	14.83	Ona Bass dendi; bu, büyükbabası Basse Washington'dan gelen b
7	53	4.320	12.27	Soyadı ise ailenin değil, başkasının malıydı: Reeves.
8	68	4.160	16.35	Çocuğu, annesini ve kardeşlerini mülk olarak kaydeden adamın
9	93	5.760	16.15	Amerika'nın güneyinde köleleştirilmiş insanlar, kendilerini 
10	121	7.520	16.09	Yani Bass Reeves, hayatının ilk yirmi yedi yılı boyunca, her
11	120	7.360	16.30	Onu mülk sayan adam William Steele Reeves'ti; Arkansas'ta ey
12	91	6.240	14.58	bin sekiz yüz kırk altıda hane halkını toplayıp güneye, Teks
13	34	2.240	15.18	Bass o sırada sekiz yaşlarındaydı.
14	192	12.640	15.19	Kızıl Irmağın hemen güneyindeki bu topraklar, o yıllarda hâl
15	58	4.800	12.08	Çocukluğu tarlada geçti, sonra ev işlerinde, sonra ahırda.
16	187	11.360	16.46	Delikanlılığa vardığında William Reeves'in oğlu George Reeve
17	32	2.080	15.38	Bu yakınlık ona iki şey öğretti.
18	24	2.240	10.71	Birincisi at ve silahtı.
19	202	13.120	15.40	Anlatılanlara göre Bass'in nişancılığı öyle erken fark edild
20	111	7.040	15.77	İki eliyle de aynı rahatlıkla ateş edebiliyordu, ki bu ileri
21	21	2.400	8.75	İkincisi ise insandı.
22	171	11.040	15.49	Efendisinin oğlunun yanında büyümek, beyaz sınır Teksas'ının
23	82	4.960	16.53	Bass Reeves ömrü boyunca insanları tartarken kullanacağı ölç
24	37	2.880	12.85	Bir şeyi ise hiç öğrenmedi: harfleri.
25	145	9.280	15.63	Köleleştirilmiş bir çocuğun okuma yazma öğrenmesi, o dünyada
26	36	2.400	15.00	Bass okulun kapısından bile geçmedi.
27	78	5.120	15.23	Hayatı boyunca ne bir mektup yazdı ne de bir belgeyi kendi g
28	49	3.040	16.12	Bu eksikliği kapatmak için hafızasını geliştirdi.
29	179	11.840	15.12	Bir kez dinlediği bir adı, bir tarifi, bir yolu aklında tutm
30	50	3.200	15.62	Ama o sırada kimse böyle bir gelecek düşünmüyordu.
31	179	11.520	15.54	Bass Reeves, bin sekiz yüz ellilerin sonunda, Teksas'ta, boy
32	87	5.760	15.10	O envanterin tutulduğu defterler, birkaç yıl içinde yanacak 
33	69	4.640	14.87	bin sekiz yüz altmış birde Amerika Birleşik Devletleri ikiye
34	125	7.840	15.94	Teksas ayrılıkçıların yanında savaşa girdi ve George Reeves,
35	84	5.440	15.44	Her varlıklı ailenin yaptığını yaptı: cepheye giderken yanın
36	103	6.880	14.97	Atları tımar edecek, çadırı kuracak, yemeği pişirecek, gerek
37	124	7.840	15.82	Böylece Bass Reeves, yirmi üç yaşında, kendisini özgürleştir
38	57	3.840	14.84	Kuzeyde, adı henüz telaffuz edilmeyen bir olasılık vardı.
39	28	2.080	13.46	Güneyde, tanıdığı tek hayat.
40	31	2.720	11.40	Arada ise Kızıl Irmak akıyordu.
41	79	5.280	14.96	Savaş kamplarında geceler uzundu ve askerler zaman öldürmek 
42	101	6.080	16.61	Bass Reeves'in hayatının kırılma anı, en yaygın anlatıldığı 
43	113	6.880	16.42	Bir iskambil oyunu sırasında efendisiyle arasında tartışma ç
44	123	8.320	14.78	Bir uşağın, üstelik köleleştirilmiş bir adamın efendisine el
45	44	3.520	12.50	Duruşma olmayacaktı, ceza tartışılmayacaktı.
46	147	8.960	16.41	Kimi araştırmacılar olayın ayrıntılarının sonradan efsaneleş
47	134	9.120	14.69	Kesin olan şu: bin sekiz yüz altmış bir ile bin sekiz yüz al
48	38	3.360	11.31	Kuzey, Kızılderili Toprakları demekti.
49	179	11.200	15.98	Bugünkü Oklahoma'nın tamamına yakınını kaplayan, federal hük
50	45	3.680	12.23	Bir kaçak için orası hem sığınak hem tuzaktı.
51	75	5.120	14.65	Sığınaktı, çünkü Teksas'ın kölelik yasalarının eli oraya kol
52	102	6.880	14.83	Tuzaktı, çünkü bölgenin bazı halkları da köle sahibiydi ve s
53	40	2.400	16.67	Bass Reeves şansını doğru kapıda denedi.
54	92	6.560	14.02	Kriklerin ve Seminollerin arasına karıştı; onlarla yaşadı, o
55	65	4.480	14.51	Sonraki üç dört yıl, ileride mesleği olacak her şeyin okulu 
56	180	11.520	15.62	Çeroki, Krik, Seminol, Çoktav ve Çikasav dillerinden anlar h
57	142	8.800	16.14	Bölgenin coğrafyasını, hangi derenin ne zaman kabardığını, h
58	99	6.400	15.47	İz sürmeyi öğrendi: toynak izinin yaşını, kırılmış dalın yön
59	53	3.680	14.40	Harfleri hiç sökemeyen adam, araziyi okumayı öğrendi.
60	209	12.320	16.96	Bazı araştırmacılar onun bu yıllarda kuzey ordusunun safları
61	108	7.040	15.34	bin sekiz yüz altmış beşte savaş bitti ve yılın sonunda anay
62	63	4.640	13.58	Bass Reeves o maddeyi okuyamadı; ama anlamını gayet iyi anla
