sira	karakter	saniye	kar_sn	metin
1	170	12.320	13.80	Türkçenin en çok sevilen şiirlerinin şairi hakkında elimizde
2	44	2.720	16.18	Kendi eliyle yazdığı tek kâğıt bile kalmadı.
3	106	6.560	16.16	Ve bugün ondan bildiğimizi sandığımız şiirlerin bir kısmı, a
4	142	8.320	17.07	bin dokuz yüz elli yılında, İstanbul'da, Beyazıt Devlet Kütü
5	148	10.080	14.68	Mecmua dediğimiz şey, bir tür derleme defteridir; sahibi eli
6	57	4.160	13.70	Ciddi bir eser değildir, bir insanın dağınık hafızasıdır.
7	98	6.720	14.58	O mecmuanın otuz sekizb varağında, sayfanın kenarında, metni
8	82	5.760	14.24	Tarihçi Adnan Sadık Erzi o satırı okudu ve aynı yıl Belleten
9	93	6.880	13.52	Satır şunu söylüyordu: Yunus Emre vefat etti, sene yedi yüz 
10	9	0.800	11.25	Bu kadar.
11	163	9.920	16.43	Türkçenin en çok sevilen şairi hakkında elimizdeki en sağlam
12	145	9.760	14.86	O satır sayesinde bugün Yunus Emre'nin altı yüz otuz sekiz y
13	80	4.640	17.24	seksen iki yıl yaşadığını ve bin üç yüz yirmi yılında öldüğü
14	117	7.840	14.92	O satır bulunmadan önce durum nasıldı, onu anlatmak gerekiyo
15	82	4.960	16.53	Yirminci yüzyılın başında Yunus Emre'nin ne zaman yaşadığı g
16	56	3.360	16.67	Onu on beşinci yüzyıla yerleştiren araştırmacılar vardı.
17	53	3.520	15.06	Bir başkası on dördüncü yüzyılın ortasında görüyordu.
18	191	11.680	16.35	Mehmed Fuad Köprülü bin dokuz yüz on sekizde yayımladığı ve 
19	55	3.680	14.95	ama tarihler konusunda kesin konuşabilecek belge yoktu.
20	83	5.440	15.26	Erzi'nin notu yayımlandıktan sonra Köprülü de bin üç yüz yir
21	128	8.160	15.69	Yani bir milletin en tanıdık şairinin takvimdeki yeri, ancak
22	27	2.080	12.98	Elimizde bir tek bu yoktur.
23	76	4.960	15.32	İkinci bir çıpa daha var ve bu ikincisini bize Yunus'un kend
24	165	11.360	14.52	Risâletü'n-Nushiyye adlı eserinin sonunda, eski şairlerin sı
25	65	5.440	11.95	Hicri yedi yüz yedi, yani bin üç yüz yedi ya da bin üç yüz s
