sira	karakter	saniye	kar_sn	metin
1	53	3.520	15.06	Dünyanın iki kritik deniz geçidi aynı anda felç oldu:
2	249	14.880	16.73	Hürmüz Boğazı'ndaki çatışmalara Babülmendep Boğazı'nın Husi 
3	51	3.520	14.49	Bugün on dokuz Eylül iki bin yirmi altı, Cumartesi.
4	10	0.960	10.42	Ben Alper.
5	92	5.120	17.97	Bugünün öne çıkan gelişmelerini sizin için derledim; gelin, 
6	148	8.800	16.82	Şubat sonunda başlayan İran savaşında haziranda imzalanan mu
7	109	6.400	17.03	dünya petrol ticaretinin beşte birinden fazlasının geçtiği H
8	117	7.360	15.90	Doğu-Batı Ham Petrol Boru Hattı'nın on bir Eylül'de devre dı
9	219	14.720	14.88	Amerikan ham petrolü West Texas Intermediate, yani Batı Teks
10	150	9.120	16.45	Yemen'de İran destekli Husiler on Eylül'de Kızıldeniz kıyısı
11	166	9.760	17.01	Dünya mal ticaretinin yaklaşık on ikide birinin geçtiği Babü
12	133	8.320	15.99	Suudi Arabistan, Muha'daki havalimanını vurdu; Veliaht Prens
13	108	6.400	16.88	bölgedeki harekâtı Husileri kapsayacak biçimde genişletmeyi 
14	135	7.680	17.58	Gemi trafiğinde henüz sert bir düşüş ölçülmese de çıkış yapa
15	130	7.840	16.58	Gazze'de Ekim iki bin yirmi beşte yürürlüğe giren ateşkesin 
16	131	7.520	17.42	Bu süre içinde bin üç yüz elli dokuz Filistinlinin hayatını 
17	98	5.760	17.01	on sekiz Eylül sabahı da Gazze Şeridi'nin farklı noktalarınd
18	114	6.560	17.38	Birleşmiş Milletler soruşturma komisyonu üyesi Sidoti, mevcu
19	191	11.520	16.58	Ukrayna cephesinde ise Volodimir Zelenski, on sekiz Eylül'de
20	212	12.960	16.36	Avrupa Birliği, füze ve insansız hava aracı tedariki için Uk
21	138	8.000	17.25	Ukrayna ordusu, Rusya'nın kuzey Donetsk'teki seçkin bir insa
22	209	12.480	16.75	Amerika Birleşik Devletleri'nde Trump, haberciliklerini gere
23	194	11.520	16.84	Aynı gün sağlık alanında bir düzenlemeyi duyuran Trump, elli
24	103	6.240	16.51	markalı ilaç pazarının seksen dokuzda birini aşan bir kapsam
25	179	10.560	16.95	Güney Kore Devlet Başkanı Li Ce-miyong, anayasa değişikliğiy
26	119	7.040	16.90	Kore ile Amerika Birleşik Devletleri'nin dışişleri bakanları
27	98	5.920	16.55	Asya'nın en büyük spor organizasyonu Asya Oyunları ise bugün
28	88	4.960	17.74	Yapay zekâ tarafında sektörün kendi hız sınırını tartıştığı 
29	198	12.160	16.28	Anthropic'ten Dario Amodei, OpenAI'dan Sam Altman ve Elon Mu
30	167	10.560	15.81	Meta'dan Mark Zuckerberg koordineli bir yavaşlamaya karşı çı
31	85	4.960	17.14	Microsoft ise insan denetimini merkeze alan bir davranış kur
32	84	4.480	18.75	Üç büyük şirketin ortak bir denetim kurumu için görüştüğü id
33	155	8.800	17.61	Halka arz cephesinde Altman, OpenAI'ın iki bin yirmi altıda 
34	144	9.280	15.52	buna karşılık SoftBank öncülüğünde yaklaşık yirmi bankanın k
35	129	8.320	15.50	Anthropic ise halka arz için Nasdaq'ı seçti ve ekim ayını he
36	192	11.360	16.90	Anthropic'in eylül tehdit raporunda, kötü niyetli aktörlerin
37	142	9.280	15.30	Ürün tarafında Google, doksan yedi dil destekleyen ve gerçek
38	149	9.280	16.06	ay o es yirmi yedi ile uygulamalar arasında işlem yapabilen 
39	159	9.760	16.29	Avrupa'da Cohere ile Aleph Alpha yirmi milyar dolarlık değer
40	91	5.440	16.73	Google DeepMind ise genel yapay zekânın toplumsal etkilerini
41	89	5.120	17.38	Küresel piyasalarda haftanın belirleyici gelişmesi Amerikan 
42	205	12.960	15.82	Fed, on altı Eylül'de politika faizini oy birliğiyle yirmi b
43	97	6.080	15.95	Başkan Kevin Warsh, güçlü iş gücü piyasasına ve hedefin üzer
44	147	8.480	17.33	Karar sonrası ons altın dört bin iki yüz yetmiş üç dolara ka
45	112	6.560	17.07	Enerji fiyatlarındaki sıçrama, merkez bankalarının enflasyon
