sira	karakter	saniye	kar_sn	metin
1	69	4.640	14.87	Doğmadan önce milyarlarca yıl yoktun ve bu seni hiç rahatsız
2	71	4.800	14.79	Peki neden aynı yokluk, ileri tarafta olunca insanı geceleri
3	63	4.000	15.75	Belki de korktuğumuz şey ölüm değil, henüz yaşamadığımız hay
4	59	4.160	14.18	Bir gece, uyku tutmadığında, kendi ölümünü düşündün mü hiç?
5	17	1.280	13.28	Çoğumuz düşündük.
6	121	7.840	15.43	O düşünce geldiğinde göğüs kafesinin içinde küçük bir kasılm
7	79	5.120	15.43	Şimdi aynı zihinsel hareketi ters yöne yaptır: bin sekiz yüz
8	11	1.120	9.82	Sen yoktun.
9	39	2.720	14.34	bin altı yüz elliyi düşün, yine yoktun.
10	135	8.480	15.92	Mısır'da piramitler yükselirken, Malazgirt'te ordular karşı 
11	53	3.360	15.77	Milyarlarca yıl boyunca sensiz bir evren döndü durdu.
12	83	5.440	15.26	Şimdi elini kalbinin üstüne koy ve dürüst ol: bu seni hiç am
13	35	2.400	14.58	Tek bir gece bile uykunu kaçırmadı.
14	74	4.800	15.42	İşte felsefe tarihinin en kışkırtıcı sorularından biri tam b
15	89	5.760	15.45	Ölümden sonraki yokluk seni dehşete düşürüyorsa, doğumdan ön
16	27	1.760	15.34	İkisi de aynı şey değil mi?
17	42	2.720	15.44	İkisi de senin olmadığın sonsuz bir zaman.
18	112	7.200	15.56	Bu soruyu ilk kez sistemli biçimde soran adam, Samos adasınd
19	64	4.800	13.33	Epikuros, MÖ üç yüz kırk bir ile iki yüz yetmiş arasında yaş
20	75	4.960	15.12	Şehrin surları dışında aldığı o bahçede, kendi adıyla anılan
21	81	5.120	15.82	Oraya kadınlar da köleler de kabul ediliyordu, ki dönem için
22	143	9.760	14.65	Öğrettiği şey bir çeşit ruh sağlığı reçetesiydi: insanı huzu
23	56	3.840	14.58	Ve bütün yanlış inançların en zehirlisi ölüm korkusuydu.
24	104	6.240	16.67	Menoikeus adında bir öğrencisine yazdığı mektupta argümanını
25	74	4.960	14.92	Bir şeyin bizim için iyi ya da kötü olması, onu hissedebilme
26	38	2.560	14.84	Diş ağrısı kötüdür çünkü onu duyarsın.
27	40	3.200	12.50	Ölüm ise duyunun tamamen sona ermesidir.
28	51	3.680	13.86	Öyleyse ölüm ne kötü ne iyidir, ölüm hiçbir şeydir.
29	86	5.760	14.93	Ve buradan o meşhur cümle çıkar: biz varken ölüm yoktur, ölü
30	31	2.560	12.11	İkisi asla aynı odada bulunmaz.
31	45	2.880	15.62	Korktuğun şeyle hiçbir zaman tanışmayacaksın.
32	85	5.600	15.18	Bu argüman kâğıt üzerinde kusursuz görünür ve pratikte hemen
33	76	5.280	14.39	İnsanlar bunu duyar, başlarını sallar, sonra gece yine aynı 
34	143	8.640	16.55	Epikuros'un takipçileri de bunu fark etmiş olmalı ki, iki bu
35	152	11.360	13.38	Lukretius, aşağı yukarı MÖ doksan dokuz ile elli beş arasınd
36	63	4.480	14.06	Bu şiirin üçüncü kitabı baştan sona ölüm korkusuyla hesaplaş
37	110	7.680	14.32	Ve orada, Şeylerin Doğası Üzerine'nin sayfalarında, bugün fe
38	44	3.680	11.96	Der ki: doğa sana bir ayna tutuyor, ona bak.
39	55	4.000	13.75	Ölümünden sonraki sonsuz zamanı düşününce ürperiyorsun.
40	41	2.720	15.07	Peki doğumundan önceki sonsuz zamana bak.
41	21	1.440	14.58	O da tıpatıp aynıydı.
42	164	11.520	14.24	Kendi verdiği örnek Romalı bir okurun tüylerini diken diken 
43	71	4.640	15.30	herkes hangi imparatorluğun ayakta kalacağını merak ederken 
44	55	4.320	12.73	Dünya sarsıldı, şehirler yandı, on binlerce insan öldü.
45	52	3.520	14.77	Sen bunların hiçbirini kaçırdığın için üzülmüyorsun.
46	30	1.920	15.62	Çünkü kaçıracak bir sen yoktu.
47	103	6.080	16.94	Roma'nın mezar taşlarında bu düşüncenin dört harfe sıkıştırı
48	52	4.640	11.21	Açılımı şuydu: yoktum, vardım, yokum, umursamıyorum.
49	81	5.280	15.34	Bir insanın kendi mezar taşına yazdırabileceği en soğukkanlı
50	28	2.400	11.67	Simetri argümanı işte budur.
51	16	1.280	12.50	Yapısı basittir.
52	72	4.640	15.52	Ölümden sonraki yokluk, doğumdan önceki yoklukla aynı türden
53	79	4.800	16.46	Doğumdan önceki yokluk kötü değildir, bunu davranışlarınla z
54	48	3.840	12.50	Öyleyse ölümden sonraki yokluk da kötü değildir.
55	65	4.320	15.05	Korkun bir hesap hatasıdır, mantığın değil alışkanlığın ürün
56	100	5.760	17.36	Ve bunun günlük hayatta ne kadar sağlam bir zemine bastığını
57	33	2.560	12.89	Evdeki eski fotoğraf albümünü aç.
58	131	8.000	16.38	Annenin ya da babanın yirmili yaşlarında, bir deniz kenarınd
59	20	1.920	10.42	O karede sen yoksun.
60	69	5.280	13.07	O yaz yaşandı, o kahkaha atıldı, o akşam bitti, sen ortalıkt
61	43	2.560	16.80	O fotoğrafa bakarken hissettiğin şey nedir?
62	48	3.840	12.50	Merak, belki tatlı bir kıskançlık, belki şefkat.
63	17	1.440	11.81	Ama dehşet değil.
64	94	5.760	16.32	Kimse ebeveyninin gençlik fotoğrafına bakıp "ben orada olmad
65	60	4.160	14.42	Peki bu kadar temiz bir argüman neden hepimizi ikna etmiyor?
66	133	8.480	15.68	Vladimir Nabokov, otobiyografisi Speak, Memory'nin, yani Kon
67	98	5.760	17.01	Bu genç, kendi doğumundan birkaç hafta önce evlerinde çekilm
68	83	6.880	12.06	Görüntüde her şey tanıdıktır: aynı ev, aynı bahçe, aynı insa
69	35	2.560	13.67	Annesi pencereden el sallamaktadır.
70	13	1.280	10.16	Karnı düzdür.
71	89	5.760	15.45	Ve odanın bir köşesinde, henüz kullanılmamış, yeni alınmış b
72	115	7.360	15.62	Genç adam o arabaya bakar ve içi ürperir, çünkü boş bir bebe
73	106	8.320	12.74	Onu asıl sarsan şey şudur: dünya orada, eksiksiz, mükemmel i
74	19	1.440	13.19	Kimse onu aramıyor.
75	42	2.560	16.41	Kimsenin yüzünde bir eksiklik ifadesi yok.
76	53	4.000	13.25	Nabokov bu duyguya kronofobi der, yani zaman korkusu.
77	178	12.000	14.83	Ve Konuş, Hafıza'nın en çok alıntılanan görüntüsünü de tam b
78	68	4.800	14.17	İnsan genellikle önündeki karanlıktan korkar, arkasındakinde
79	21	1.920	10.94	Oysa ikisi kardeştir.
80	162	10.080	16.07	Bu tek bir örnek, simetri argümanının duygusal olarak neden 
81	46	3.360	13.69	Yani simetri var, ama duygumuz simetrik değil.
82	80	4.960	16.13	Peki bu duygusal asimetri sadece bir kusur mu, yoksa arkasın
83	75	4.640	16.16	Yirminci yüzyılın en berrak zihinlerinden biri, bu soruya bi
84	187	11.840	15.79	Thomas Nagel, bin dokuz yüz yetmiş yılında yayımladığı ve so
85	60	4.480	13.39	Nagel'in cevabı şudur: ölüm, acı verdiği için kötü değildir.
86	45	3.040	14.80	Kötüdür çünkü seni bir şeyden yoksun bırakır.
87	28	1.920	14.58	Buna yoksunluk kuramı denir.
88	56	4.160	13.46	Ölmek, henüz yaşanmamış bir hayatın elinden alınmasıdır.
89	113	7.840	14.41	Yirmi yaşında bir kaza sonucu ölen birinin trajedisi, o kişi
90	149	9.920	15.02	Trajedi, hiç yazılmayacak mektuplarda, hiç kurulmayacak bir 
91	56	4.000	14.00	Kayıp, deneyimin içinde değil, deneyimin olmayışındadır.
92	48	3.200	15.00	Nagel burada durmaz ve tam bizim sorumuza gelir.
93	83	4.960	16.73	Eğer ölüm bir yoksunluksa, doğumdan önceki yokluk da bir yok
94	15	1.120	13.39	Cevabı incedir.
95	68	4.480	15.18	Der ki, bir insanın daha uzun yaşamış olmasını hayal etmek k
