sira	karakter	saniye	kar_sn	metin
1	93	6.240	14.90	Film bittiğinde Stanley Kubrick, uzay gemilerini, çizimleri,
2	44	2.720	16.18	Kimse aynı numarayı bir daha yapamasın diye.
3	138	8.480	16.27	Oysa birkaç ay önce, prömiyerde seyircinin bir bölümü salonu
4	183	11.040	16.58	bin dokuz yüz altmış dört yılının başında Stanley Kubrick, k
5	3	1.280	2.34	Dr.
6	147	8.480	17.33	Strangelove daha yeni vizyona girmişti, adı Hollywood'da tar
7	96	6.080	15.79	Ama aklındaki şey, o güne kadar sinemada bilimkurgu diye sat
8	92	6.080	15.13	Uçan daireler, lastik kostümlü canavarlar, dünyayı kurtaran 
9	109	7.360	14.81	Ciddiye alınabilecek, gerçekten olabilecek, bilim insanların
10	105	6.400	16.41	Böyle bir film daha önce hiç yapılmamıştı ve bunun bir neden
11	122	7.360	16.58	Kubrick, tanıdığı bir sinema tanıtım yöneticisi olan Roger C
12	25	2.240	11.16	Caras'ın cevabı Arthur C.
13	135	9.600	14.06	Clarke oldu; ancak eklediği bir uyarıyla birlikte: adam düny
14	19	1.600	11.88	Kubrick ısrar etti.
15	49	3.680	13.32	Telgraf gitti, cevap geldi ve Clarke uçağa bindi.
16	116	6.880	16.86	Nisan bin dokuz yüz altmış dörtte New York'ta, Plaza Oteli'n
17	21	1.600	13.12	Saatlerce konuştular.
18	88	5.280	16.67	Kubrick'in ilk cümlelerinden biri, dünya dışı zekâ hakkında 
19	188	12.000	15.67	Clarke'ın önerdiği tohum, kendi kısa öyküsü oldu: bin dokuz 
20	83	5.600	14.82	Öyküde astronotlar Ay'da, milyonlarca yıl önce oraya bırakıl
21	104	6.880	15.12	Cismin işlevi tek bir şeydir: birileri onu bulacak kadar gel
22	10	0.960	10.42	Bir alarm.
23	14	1.280	10.94	Bir eşik taşı.
24	74	4.640	15.95	Bu noktada Kubrick, sinema tarihinde neredeyse eşi olmayan b
25	24	1.760	13.64	Önce senaryo yazmadılar.
26	129	8.640	14.93	Önce roman yazacaklardı; düzyazının rahatlığı içinde hikâyey
27	96	6.720	14.29	Clarke, New York'a taşınıp Chelsea Oteli'ne yerleşti ve iki 
28	80	5.600	14.29	Projenin ilk adı Journey Beyond the Stars, yani Yıldızların 
29	20	1.600	12.50	Ancak plan işlemedi.
30	112	7.360	15.22	Roman bitmedi, çünkü Kubrick her fikri sürekli değiştiriyord
31	44	3.040	14.47	İkisi birbirini kovalayarak yıllara yayıldı.
32	96	6.400	15.00	Clarke o dönemde ciddi bir maddi sıkıntıya düştü, borç aldı,
33	77	4.960	15.52	Roman ancak filmden sonra, bin dokuz yüz altmış sekiz yazınd
34	72	4.960	14.52	Metin ilerledikçe Kubrick'in içgüdüsü sürekli aynı yöne çekt
35	214	12.480	17.15	Filmin başına, aralarında dönemin tanınmış bilim insanlarını
36	75	4.800	15.62	Bir kurguda seyirciye olan biteni açıklayan bir dış ses vard
37	85	6.240	13.62	Uzaylıların görüntüsü üzerinde uzun uzun çalışıldı, tasarıml
38	219	14.080	15.55	Kubrick bu konuda Carl Sagan'a da danışmıştı ve Sagan'ın tav
39	22	2.080	10.58	En iyisi ima etmektir.
40	64	4.320	14.81	Kubrick bu tavsiyeyi harfiyen uyguladı ve daha da ileri götü
41	196	13.280	14.76	Ay'daki cismin biçimi de aynı elemeden geçti: önce piramit d
42	66	4.960	13.31	Kenar oranları bire dörde dokuz, yani ilk üç tam sayının kar
43	54	3.520	15.34	Bir cismin doğal olmadığını anlatmanın en sessiz yolu.
44	83	5.280	15.72	Böylece ortaya, kâğıt üzerinde bir stüdyo yöneticisinin kâbu
45	70	4.160	16.83	yüz kırk iki dakikalık filmde konuşmanın toplamı kırk dakika
46	91	5.760	15.80	İlk yaklaşık yirmi beş dakikada tek bir insan sözcüğü duyulm
47	58	3.840	15.10	Filmin en duygusal, en insani karakteri bir bilgisayardır.
48	54	3.840	14.06	Ana karakter, hikâyenin sonunda ne olduğunu açıklamaz.
49	20	1.920	10.42	Hiç kimse açıklamaz.
50	197	13.280	14.83	Metro-Goldwyn-Mayer, yani MGM, bütün bunları henüz bilmeden 
51	115	7.040	16.34	Kubrick'in kafasındaki filmin ise henüz var olmayan araçlarl
52	24	2.080	11.54	Kendisi zaten biliyordu.
53	111	6.560	16.92	Çekimler yirmi dokuz Aralık bin dokuz yüz altmış beşte, Lond
54	149	9.920	15.02	İlk çekilen sahne, Ay'daki kazı alanıydı; bu stüdyo seçilmiş
55	86	5.920	14.53	Ardından yapım, MGM'nin Borehamwood'daki stüdyolarına taşınd
56	115	7.040	16.34	Bugün bu filmin görüntülerine bakan bir izleyicinin aklına i
57	17	1.440	11.81	Cevap, yapılmadı.
58	76	4.480	16.96	bin dokuz yüz altmış beşte görüntü üretebilen bilgisayar diy
59	114	7.680	14.84	Filmdeki her şey fiziksel olarak inşa edildi, fiziksel olara
60	39	2.560	15.23	Bunun en gösterişli örneği santrifüjdü.
61	123	7.680	16.02	Discovery adlı geminin mürettebatının yaşadığı bölüm, dönere
62	57	3.840	14.84	Kubrick bunu numara yapmak yerine gerçekten inşa ettirdi.
63	155	9.440	16.42	İngiliz mühendislik şirketi Vickers-Armstrongs, on iki metre
64	126	8.640	14.58	Maliyeti yedi yüz elli bin dolardı; yani filmin başlangıçtak
65	100	6.880	14.53	Çalışma prensibi zekiceydi: kamera çemberin içine sabitleniy
66	119	7.520	15.82	Ekranda oyuncu duvarda yürüyormuş gibi görünürken, aslında o
67	97	6.400	15.16	Kubrick çekim sırasında içeri giremiyordu; dışarıda bir moni
68	142	9.440	15.04	Keir Dullea ile Gary Lockwood'un o meşhur koşu ve yemek sahn
69	53	3.520	15.06	Ufak bir dikkatsizlik ciddi bir kazaya dönüşebilirdi.
70	86	6.080	14.14	Filmin açılışındaki tarih öncesi Afrika sahnelerinde ise bam
71	112	7.520	14.89	Kubrick oyuncuları çöle götürmek istemiyordu; maymun kostüml
72	96	5.600	17.14	Bunun yerine bir ekip Namib Çölü'ne gönderilip yüksek çözünü
73	145	9.280	15.63	Bu fotoğraflar büyük boy saydamlara aktarıldı ve stüdyoda, o
74	154	10.080	15.28	İşin sırrı perdenin malzemesindeydi: üçM şirketinin ürettiği
75	160	9.760	16.39	Projeksiyon, kamerayla tam aynı eksenden verildiği için oyun
76	77	5.440	14.15	Bu tekniğe ön perde yansıtması denir ve bu ölçekte ilk kez b
77	199	12.480	15.95	Maymunların kendisi de ayrı bir mühendislik işiydi: Stuart F
78	129	8.160	15.81	Sürüyü yöneten ve başrolü oynayan Dan Richter bir pantomim s
79	100	6.880	14.53	Filmin sonundaki, uzayın içinden geçilen o uzun ışık koridor
80	190	12.000	15.83	Douglas Trumbull, yarık tarama adı verilen bir düzenek geliş
81	93	6.400	14.53	Her tek karesi dakikalar alan bu yöntemle birkaç dakikalık b
82	157	9.760	16.09	Filmdeki iki yüz beş efekt planının bir kısmı, aynı film şer
83	97	6.080	15.95	Kopya üzerinden değil, doğrudan orijinal negatif üzerinde ça
84	54	3.840	14.06	Tek bir hata, aylar süren emeğin çöpe gitmesi demekti.
85	47	3.200	14.69	Efekt çalışmaları toplamda bir buçuk yılı aştı.
86	39	2.400	16.25	Aynı titizlik sesin tarafında da vardı.
87	157	9.760	16.09	Gemiyi yöneten bilgisayarın konuşması için önce Amerikalı bi
88	87	6.080	14.31	Rol, sakin ve pürüzsüz bir tona sahip Kanadalı tiyatro oyunc
89	174	10.400	16.73	Rain filmin dekorlarını hiç görmedi, diğer oyuncularla hiç k
90	60	4.000	15.00	Müzikte ise Kubrick'in acımasızlığı en açık haliyle görüldü.
91	90	5.760	15.62	Filme özgün bir müzik bestelemesi için Alex North'la anlaşıl
92	174	10.720	16.23	Ancak Kubrick kurgu sırasında geçici olarak yerleştirdiği kl
93	90	5.760	15.62	Hachaturyan'ın Gayane balesinden bir bölüm ve Dyördy Ligeti'
94	92	6.080	15.13	North'un müziği tamamen çıkarıldı ve besteci bunu ilk göster
95	121	6.880	17.59	Ligeti'nin durumu daha da tuhaftı: kendi müziğinin filmde ku
96	74	5.120	14.45	Dağıtımcı şirkete dava açtı, yıllar sonra son derece küçük b
97	111	7.200	15.42	Yine de zamanla filmin müziğine yaptığı katkıyı kabullendi; 
98	34	2.240	15.18	Bütün bunların bir faturası vardı.
99	137	9.440	14.51	bin dokuz yüz altmış altıda bitmesi planlanan film bin dokuz
100	107	6.560	16.31	ne çektiğini kendisinin bile tam olarak anlatamadığı bir yön
101	93	6.080	15.30	iki Nisan bin dokuz yüz altmış sekiz akşamı, Washington'daki
102	45	3.680	12.23	MGM yöneticileri, davetliler, basın oradaydı.
103	43	3.040	14.14	Filmin ilk sürümü yüz altmış bir dakikaydı.
104	24	1.600	15.00	Salonda beklenen olmadı.
105	29	2.080	13.94	Seyirci ne olduğunu anlamadı.
106	96	6.400	15.00	Sessizlikler uzundu, açıklama yoktu, final ise izleyicinin e
107	83	5.600	14.82	İlk gösterimlerde salonu terk edenlerin sayısı iki yüz kırk 
108	189	11.360	16.64	Aralarında dönemin ünlü yıldızlarından birinin de bulunduğu,
109	40	2.720	14.71	ama o gecenin havasını doğru tarif eder.
110	51	3.840	13.28	Işıklar yandığında MGM yöneticilerinin yüzü asıktı.
111	54	3.360	16.07	Bir gün sonra New York'ta da benzer bir tablo yaşandı.
112	30	2.080	14.42	Kubrick'in tepkisi hızlı oldu.
113	89	5.600	15.89	Gösterimden sonraki günler içinde filme geri döndü ve yaklaş
114	205	12.640	16.22	Nefes almasını istediği pek çok anı feda etti; kesilen malze
115	67	4.480	14.96	Film yüz kırk iki dakikaya indi ve bugün bildiğimiz haline k
116	33	2.400	13.75	Eleştirmenler de yardımcı olmadı.
117	119	7.360	16.17	Etkili kalemlerden biri filmi hayal gücünden yoksun bulduğun
118	182	11.200	16.25	Kimi eleştirmenler ilk yazılarında filmi reddedip haftalar s
119	31	2.080	14.90	Sonra beklenmedik bir şey oldu.
120	87	5.440	15.99	Salonları dolduran, MGM'nin hedeflediği orta yaşlı bilet alı
121	139	8.800	15.80	Film onlar için anlatısı takip edilecek bir hikâye değil, iç
122	104	7.200	14.44	Pazarlama ekibi bunu fark edince afişleri değiştirdi ve film
123	31	2.240	13.84	O andan itibaren gişe tırmandı.
124	98	6.400	15.31	iki bin bir, bin dokuz yüz altmış sekizin Kuzey Amerika'da e
125	153	9.920	15.42	yıllara yayılan yeniden gösterimlerle birlikte hasılatı başl
126	72	4.640	15.52	Ödül gecesinde ise sinema tarihinin en tuhaf ironilerinden b
127	96	7.040	13.64	Film en iyi yönetmen dahil dört dalda aday gösterildi, yalnı
128	89	6.080	14.64	Ve bu ödül, dönemin kurallarına göre ekibin tamamı adına tek
129	120	7.840	15.31	Perde arkasındaki dört efekt ustası, yani Trumbull, Veevers,
130	26	1.760	14.77	Kubrick de törene gitmedi.
131	60	4.000	15.00	Bu, kırk altı yıllık kariyeri boyunca aldığı tek Oscar oldu.
132	62	4.640	13.36	Filmin bitişiyle birlikte gelen kararsa bugün hâlâ tartışılı
133	120	7.840	15.31	Kubrick, çekimler tamamlandığında maketlerin, dekor parçalar
134	118	7.840	15.05	Kamyonlara yüklendiler ve bir daha geri dönmediler; kimi anl
135	159	9.440	16.84	Gerekçesi kişiseldi ve mantıklıydı: on yıl önce başka bir bi
136	68	4.000	17.00	Discovery'nin ucuz bir televizyon dizisinde belirmesini iste
137	48	3.200	15.00	Bunun bedeli bin dokuz yüz seksen dörtte ödendi;
138	191	11.520	16.58	devam filmi çekilirken elde tek bir teknik çizim bulunmadığı
139	78	5.440	14.34	Kubrick kendi filmini geride kalan tek belgeye indirgemişti:
140	39	3.360	11.61	Geriye kalan miras ise imha edilemezdi.
141	191	12.320	15.50	Ön perde yansıtması ve yarık tarama, sonraki yirmi yıl boyun
142	117	7.360	15.90	bin dokuz yüz yetmiş yedide gişeyi altüst eden uzay filmleri
143	92	6.080	15.13	Bilimsel çevrelerde film, uzayda sesin duyulmadığını göstere
144	104	7.360	14.13	Sessiz, açıklamayan, seyirciyi rahatsız eden final ise zaman
145	49	3.200	15.31	Hikâyenin son halkası iki bin on yılında eklendi.
146	161	10.400	15.48	Prömiyerden sonra kesilen o yaklaşık on yedi dakikalık malze
147	124	7.200	17.22	Yani bin dokuz yüz altmış sekizde salonu terk eden seyircile
148	80	5.120	15.62	Hak sahibi şirket bugüne kadar bu malzemeyi yayımlamadı, fil
149	69	4.960	13.91	Karar makul: Kubrick o kesimi kendi eliyle, kendi isteğiyle 
150	34	2.720	12.50	Böylece elde iki tür yokluk kaldı.
151	80	5.280	15.15	Biri Kubrick'in bilerek yok ettiği maketler, diğeri bilerek 
152	42	2.720	15.44	Filmin gücü de tam olarak buradan geliyor.
153	104	7.360	14.13	iki bin bir, elinde olan her şeyi gösteren bir film değil; n
154	193	11.840	16.30	iki yüz kırk bir kişinin çıkmak için ayağa kalktığı o salond
155	136	8.480	16.04	Kubrick seyirciye cevap vermedi; onun yerine, cevabı olmayan
156	44	2.880	15.28	Nöron Film'de bugünkü bölümün sonuna geldik.
157	41	2.560	16.02	Yeni bir hikâyede yeniden buluşmak üzere.
