sira	karakter	saniye	kar_sn	metin
1	165	9.280	17.78	The black pepper aboard the envoys' ship — the envoys kept w
2	106	6.240	16.99	In return for that one bowl of pepper, the Sultan sent maste
3	85	4.960	17.14	Today, in the middle of Sumatra, there stand cannon bearing 
4	111	5.920	18.75	In August of fifteen eleven, a fleet of eighteen vessels dro
5	182	9.440	19.28	On the decks stood roughly nine hundred Portuguese and some 
6	81	4.480	18.08	The city facing them was one of the busiest junctions of wor
7	118	7.200	16.39	In Malacca, cloth merchants from Gujarat, junks carrying sil
8	109	6.400	17.03	and small sailing craft loading cloves and nutmeg from the M
9	209	9.760	21.41	Observers of the period wrote that dozens of languages were 
10	35	2.400	14.58	Albuquerque's aim was not to trade.
11	55	2.880	19.10	His aim was to lock the door that trade passed through.
12	132	7.200	18.33	For the Strait of Malacca was the only practical passage bet
13	116	6.240	18.59	pirate-ridden waterway that narrowed in places to just a few
14	54	3.360	16.07	Spice travelled from East to West through this strait.
15	39	2.400	16.25	Whoever held the strait held the spice.
16	60	3.360	17.86	The city fell after several weeks of bitter street fighting.
17	134	7.200	18.61	Sultan Mahmud Shah abandoned his elephants and his treasury 
18	136	6.560	20.73	At the mouth of the harbour the Portuguese raised a thick-wa
19	46	3.040	15.13	The fortress was called A Famosa — the Famous.
20	134	6.720	19.94	The guns of the Famous looked out over the harbour, and from
21	102	5.120	19.92	What followed was one of the most far-reaching attempts at c
22	66	3.840	17.19	The Portuguese established a system of passes known as the c
23	165	8.960	18.42	Every vessel wishing to trade in the ocean had to obtain thi
24	81	4.800	16.88	A ship caught without the pass was confiscated along with it
25	150	8.960	16.74	On paper this was a customs regime; at sea, it meant that an
26	32	2.880	11.11	But the lock never quite closed.
27	93	5.120	18.16	The fall of Malacca did not end the trade of Muslim merchant
28	155	8.000	19.38	Traders who had no wish to unload their goods at a port flyi
29	114	6.880	16.57	And one of those harbours, a sultanate at the northern tip, 
30	153	8.800	17.39	The Sultanate of Aceh, pulled together in the closing years 
31	30	2.080	14.42	But its geography was perfect.
32	135	7.680	17.58	It lay just outside the strait — a natural gateway for any s
33	79	4.160	18.99	What is more, the foothills behind it were well suited to gr
34	209	10.400	20.10	By the middle of the sixteenth century Aceh had become one o
35	56	3.520	15.91	across the Indian Ocean to the Red Sea and on to Jeddah.
36	192	9.920	19.35	By some reckonings, the quantity of pepper reaching Alexandr
37	35	2.080	16.83	The Portuguese, of course, noticed.
38	113	6.560	17.23	The coasts of Aceh were blockaded, its ships hunted, and eve
39	21	2.720	7.72	And Aceh struck back.
40	152	8.480	17.92	In fifteen thirty-seven and again in fifteen forty-seven it 
41	28	2.880	9.72	The problem was not courage.
42	124	6.880	18.02	The problem was the absence of heavy guns capable of bringin
43	32	2.400	13.33	Where was Aceh to find such men?
44	47	3.520	13.35	It followed the direction its pepper travelled.
45	104	5.760	18.06	Beyond the Red Sea there was, in that age, only one name tha
46	92	5.120	17.97	To send a letter from Aceh to Istanbul is a undertaking our 
47	77	4.320	17.82	The matter is not merely one of distance, but of the rhythm 
48	126	6.240	20.19	From the northern tip of Sumatra to the mouth of the Red Sea
49	53	3.360	15.77	But you cannot make that journey whenever you please.
50	169	8.800	19.20	Trade in the Indian Ocean was bound to the calendar of the m
51	98	5.600	17.50	Set out in the wrong season and you arrive nowhere; miss the
52	189	11.200	16.88	A ship leaving Aceh would catch the northeast monsoon, pass 
53	35	3.360	10.42	After Suez, the sea came to an end.
54	119	6.720	17.71	Cargo and people were loaded onto camels, crossed the desert
55	92	5.600	16.43	From Alexandria a galley or a galleon would carry them acros
56	136	9.120	14.91	If everything went well, this voyage took months; if a delay
57	123	6.560	18.75	Which meant that when the sultan of Aceh wrote a letter, he 
58	109	6.240	17.47	Two years is more than enough time for a siege to be won and
59	163	9.440	17.27	This is the real tragedy of sixteenth-century diplomacy: eve
60	20	2.240	8.93	Even so, Aceh tried.
61	34	2.720	12.50	And not once, but again and again.
62	95	5.440	17.46	From fifteen thirty-nine onward, the throne of Aceh was held
63	116	7.520	15.43	His epithet, al-Kahhar, meant the subduer, the one who force
64	86	5.920	14.53	He annexed the neighbouring principalities to Aceh, built a 
65	76	4.000	19.00	But on the question of the Portuguese, he knew he was not en
66	82	4.640	17.67	In the very first years of the fifteen sixties, envoys from 
67	105	5.760	18.23	Portuguese sources speak of a delegation from Sumatra being 
68	211	12.800	16.48	In fact the Ottoman presence in the Indian Ocean goes back m
69	147	7.840	18.75	There are also accounts of Ottoman gunners, Ottoman weapons,
70	194	10.400	18.65	The Portuguese traveller Fernão Mendes Pinto writes that Tur
71	53	2.720	19.49	and the figures he gives should be read with caution.
72	171	8.800	19.43	For the peoples of the region, the distinction was simple: w
73	4	1.120	3.57	Rum.
74	73	4.320	16.90	In the coastal villages of Sumatra, the Ottomans were known 
75	62	3.680	16.85	And then came the document that still sits in our hands toda
76	102	5.440	18.75	In the Topkapı Palace Archive there is a letter registered u
77	60	3.840	15.62	It bears the date the seventh of January, fifteen sixty-six.
78	80	4.640	17.24	It is the letter written by Sultan Alauddin of Aceh to Sulei
79	121	6.560	18.45	The text lay largely silent in the archive until it was publ
80	110	5.920	18.58	The language of the letter is not that of a state correspond
81	82	4.480	18.30	It is the language of someone who has come to the door, writ
82	114	6.080	18.75	The sultan of Aceh describes his own country as a village of
83	114	6.240	18.27	He tells of his war with the Portuguese, of the desperate st
84	200	10.880	18.38	He says that Muslim pilgrims on their way to the Hajj are be
85	192	11.200	17.14	The items he asks for are precise: experienced commanders to
86	19	1.920	9.90	The letter set out.
87	92	5.600	16.43	It waited for the monsoon, crossed the ocean, crossed the de
88	76	5.120	14.84	And when it reached Istanbul, the man it was written to was 
89	150	8.800	17.05	Suleiman the Magnificent died in September fifteen sixty-six
90	152	7.520	20.21	The recipient of the pepper-laden ships that had sailed from
91	98	5.920	16.55	The one who would give the answer was to be his son, Selim t
92	147	8.320	17.67	The story told about what became of the delegation Aceh sent
93	93	5.280	17.61	For centuries it was passed from father to son, and in the e
94	103	5.600	18.39	And legends sometimes tell us something the documents cannot
95	25	1.760	14.20	The story goes like this.
96	95	6.080	15.62	The sultan of Aceh, asking the Ottoman sultan for cannon, do
97	77	5.120	15.04	He loads his country's most precious commodity, black pepper
98	125	7.680	16.28	This is no ordinary gift; it is the whole wealth of Aceh, al
99	47	2.880	16.32	A shipload of pepper was a fortune in that age.
100	80	5.440	14.71	The delegation sets out and, after a voyage lasting months, 
101	56	3.040	18.42	But when they get there, they find no door open to them.
102	48	2.880	16.67	The imperial capital is busy with other matters.
103	110	6.400	17.19	There is war in the Mediterranean, there is a campaign in Eu
104	149	7.680	19.40	Very few people know where this place called Sumatra even is
105	16	1.600	10.00	The envoys wait.
106	45	2.560	17.58	This is the most poignant part of the legend.
107	25	1.760	14.20	They wait, and they wait.
108	30	2.560	11.72	Months pass, the seasons turn.
109	195	10.880	17.92	The pepper they brought is sold off, a little at a time, fir
110	142	7.680	18.49	When at last the day comes that they are received in the sul
111	99	5.440	18.20	The cupak is a small measure of volume used in the Malay wor
112	50	3.360	14.88	The envoys offer up that single handful of pepper.
113	115	6.080	18.91	According to the story, the sultan looks not at the smallnes
114	207	9.760	21.21	These are people who set out from the other end of the world
115	55	3.040	18.09	and who still did not give up on presenting their gift.
116	29	2.560	11.33	What they ask for is granted.
117	72	4.640	15.52	Cannon are cast, master gunners are assigned, and they are s
118	62	3.520	17.61	And one of those cannon is given a name in Aceh: Lada Sicupa
119	58	4.640	12.50	That is, "one cupak of pepper." A handful of black pepper.
120	124	6.880	18.02	In telling this story, one thing has to be said plainly: the
121	109	6.080	17.93	In the Mühimme registers there is nothing about waiting envo
122	105	6.720	15.62	What the documents contain is the cold language of the state
123	99	5.600	17.68	The details of the legend were probably added later, as the 
124	48	3.200	15.00	But the legend does capture one thing correctly.
125	57	3.840	14.84	For Aceh, this really did mean staking everything it had.
126	75	4.160	18.03	And for Istanbul, this really was an item at the very bottom
127	97	4.960	19.56	That gulf between the weight each side gave the matter is al
128	148	7.840	18.88	Because while Aceh waited for the help that would save its l
129	39	3.360	11.61	Istanbul did not refuse Aceh's request.
130	64	4.640	13.79	On the contrary, on paper it gave an extremely serious respo
131	152	8.480	17.92	By a decree dated the twenty-first of September, fifteen six
132	88	5.280	16.67	He was a seaman who had spent his life in the waters of the 
133	161	8.480	18.99	The records in Mühimme Register number seven show the scale 
134	88	4.480	19.64	A chief gunner and seven master gunners were assigned from t
135	157	8.480	18.51	Among the weapons to be loaded were heavy guns of the badalu
136	93	4.480	20.76	while the hevâyî was a mortar-type piece that dropped its sh
137	76	4.640	16.38	In other words, what was being sent was no ornament; it was 
138	106	6.720	15.77	In addition to these, troops from Egypt, sappers, and materi
139	137	6.720	20.39	The justification for the decision stated that meeting the r
140	66	3.840	17.19	Anyone looking at the document might think the matter was se
141	91	6.240	14.58	A fleet has been prepared, its commander appointed, its guns
142	49	3.680	13.32	But at exactly that moment, Yemen rose in revolt.
143	98	5.440	18.01	The rebellion that began in fifteen sixty-seven in the mount
144	86	5.600	15.36	The rebels seized the mountain passes, besieged the Ottoman 
145	100	5.280	18.94	Within a short time the Ottoman presence in Yemen was squeez
146	35	3.360	10.42	And Yemen was no ordinary province.
147	114	6.400	17.81	It was the place that controlled the mouth of the Red Sea, A
148	83	5.600	14.82	If Yemen were lost, the fleet being prepared at Suez would h
149	21	3.040	6.91	The priority changed.
150	133	6.720	19.79	The fleet bound for Sumatra was turned not toward the direct
151	106	6.240	16.99	The galleys, together with part of the troops and guns meant
152	129	6.880	18.75	It took the Ottomans a long and bloody series of operations,
153	58	4.000	14.50	We do not know exactly what became of Kurdoğlu Hızır Reis.
154	98	5.440	18.01	In the records we have, there is no trace of his setting out
155	44	3.040	14.47	He most likely died during those operations.
156	47	3.520	13.35	The man appointed to go to Aceh never saw Aceh.
157	108	5.760	18.75	What reached Sumatra was not the fleet that had been prepare
158	48	3.840	12.50	The sources speak of two ships arriving in Aceh.
159	70	4.160	16.83	Two ships are nothing beside a fleet of fifteen galleys and 
160	85	4.320	19.68	But what those two ships carried should be measured not in t
161	64	3.520	18.18	Because it was not only cannons that came down from those sh
162	109	6.240	17.47	Masters who knew how to cast cannon came ashore, along with 
163	103	6.880	14.97	And what that means is this: what arrived in Aceh was not a 
164	91	5.280	17.23	If they give you a cannon, you have a cannon; if that cannon
165	63	3.680	17.12	But if they teach you how to cast cannon, you have an indust
166	35	2.720	12.87	Foundries were established in Aceh.
167	96	5.600	17.14	Local copper and tin, local labor, and Ottoman knowledge of 
168	114	6.880	16.57	At the northern tip of Sumatra, in a place no European state
169	95	5.600	16.96	This production did not die with the masters who had brought
170	155	8.000	19.38	At the beginning of the seventeenth century, it is recorded 
171	71	4.000	17.75	That is a figure no other local state in the region came any
172	63	4.160	15.14	Istanbul was never able to send the fleet it had promised Ac
173	105	6.240	16.83	But in place of the fleet it could not send, it sent — witho
174	92	6.080	15.13	And Aceh decided to test this new power, for the first time,
175	73	4.640	15.73	In the year fifteen sixty-eight, the Acehnese fleet set sail
176	102	5.440	18.75	The numbers given by Portuguese chroniclers are quite striki
177	123	6.400	19.22	According to the accounts, the Acehnese army numbered fiftee
178	105	5.600	18.75	And manning those guns was a group the sources point to insi
179	195	11.520	16.93	The Portuguese refer to them in their own records simply as 
180	117	6.400	18.28	But the course of the siege shows, at the very least, that t
