sira	karakter	saniye	kar_sn	metin
1	140	8.960	15.62	Bir sabah uyanıyorsunuz ve evinizin altındaki su çekilmiş; d
2	67	4.160	16.11	Beş bin yıllık bir su uygarlığı, birkaç yılda kanallarla kur
3	71	4.800	14.79	Sonra birileri gecenin içinde setleri deldi ve su geri gelme
4	88	6.400	13.75	Güneş, Irağın güneyinde Fıradın son kollarına vurmadan önce 
5	72	5.440	13.24	Sonra bir gölge kayar üzerinden: uzun, ince, siyah zift kapl
6	10	1.440	6.94	Adı maşuf.
7	90	6.240	14.42	İçindeki adam ayakta durur, elindeki uzun sırıkla dibi iter 
8	70	5.120	13.67	İki yanında duvarlar yükselir; taştan değil, tuğladan değil,
9	151	9.280	16.27	Boyları bazen üç metreyi, iyi yıllarda çok daha fazlasını bu
10	151	9.120	16.56	Buraya Ahvar denir; Dicle ile Fıradın Basra Körfezi'ne varma
11	86	5.600	15.36	Kamış ormanının ortasında, suyun biraz yükseldiği bir yerde,
12	60	3.840	15.62	Uzaktan bakınca bir tekneye benzer, yaklaşınca bir tapınağa.
13	59	4.640	12.72	Otuz metre uzunluğunda, sivri kemerli, tünel gibi bir yapı.
14	20	1.760	11.36	Adı mudif: konukevi.
15	70	4.800	14.58	Ve mudifin en olağanüstü yanı, ne olduğu değil, neyden yapıl
16	27	2.240	12.05	İçinde tek bir çivi yoktur.
17	55	4.320	12.73	Tek bir tahta, tek bir metal parça, tek bir cam yoktur.
18	54	3.360	16.07	Kemerleri bağlayan halatlar bile kamıştan bükülmüştür.
19	154	10.720	14.37	Bataklıkta yetişen ve yerel adıyla kasab denen dev saz, kimi
20	69	4.480	15.40	Yapım yöntemi şaşırtıcı derecede basit ve şaşırtıcı derecede
21	71	4.960	14.31	Kalın kamış demetleri sıkıca sarılır, iki sıra halinde topra
22	68	4.800	14.17	Sonra karşılıklı iki demetin uçları birbirine doğru eğilip b
23	147	9.120	16.12	Ortaya çıkan şey mühendislik kitaplarının parabolik kemer de
24	78	5.600	13.93	Bir mudifte bu kemerlerden genellikle tek sayıda bulunur; ye
25	49	3.840	12.76	Sayı arttıkça yapının sahibinin itibarı da artar.
26	57	4.000	14.25	Kemerlerin arası hasırlarla örülür, uçlar açık bırakılır.
27	167	9.440	17.69	İçeri girdiğinizde başınızı kaldırıp o kaburgaların birbiri 
28	130	8.640	15.05	Ama bu katedralin tek bir taşı yoktur; hepsi ottur, hepsi su
29	40	2.560	15.62	Bu yapının içi de dışı kadar kurallıdır.
30	57	4.000	14.25	Mudif bir evin oturma odası değil, topluluğun meclisidir.
31	102	7.040	14.49	Misafir kabul edilir, kan davaları görüşülür, evlilik anlaşm
32	129	8.320	15.50	Kim nerede oturur, kahve kime önce verilir, konuk hangi keme
33	97	6.240	15.54	Kahve fincanı üç yudumluktur ve fincanı sallayarak geri verm
34	88	6.080	14.47	Mudifin çevresinde, insanların yaşadığı asıl mucize durur: s
35	24	1.920	12.50	Kara yoksa kara yapılır.
36	92	6.240	14.74	Kamışlar biçilir, üst üste katlanır, çamurla sıkıştırılır ve
37	53	4.000	13.25	Üstüne ev kurulur, mandalar bağlanır, çocuklar yürür.
38	61	4.000	15.25	Zamanla batmaya başlayınca üstüne yeni bir kat kamış serilir
39	76	5.280	14.39	Yani bu adalar sürekli olarak yeniden doğar, tıpkı üzerlerin
40	12	0.960	12.50	Ve mandalar.
41	74	5.120	14.45	Bataklık Arapları için manda, buğdayın çiftçi için olduğu şe
42	139	10.880	12.78	Sütü, kaymağı, yoğurdu gıdadır; kuruyan gübresi hem yakıt he
43	117	7.360	15.90	Sabahları sürüler kendiliğinden suya girer, gün boyu kamış k
44	32	2.560	12.50	Kimse gütmez; hayvan yolu bilir.
45	175	11.200	15.63	Balık, özellikle Dicle sazanı, kızgın odun ateşinin yanına d
46	67	4.000	16.75	Bütün bunlara bakan bir arkeolog için tuhaf bir baş dönmesi 
47	31	2.400	12.92	Çünkü bu manzara yeni değildir.
48	102	6.400	15.94	Londra'daki British Museum'da, yani İngiliz Müzesi'nde, Uruk
49	79	4.960	15.93	Yaklaşık üç bin iki yüz yıllarına, yani beş bin yıldan fazla
50	158	10.560	14.96	Üzerinde kabartma halinde koyunlar, kuzular ve arkalarında b
51	72	4.640	15.52	Sümer'in ilk kentleri kurulurken de aynı saz, aynı biçimde b
52	110	7.840	14.03	Uruğun, Ur'un, Eridu'nun tuğla surları toprağa gömüldü; kamı
53	28	2.080	13.46	Her nesil onu yeniden yaptı.
54	182	12.160	14.97	Sümerlerin tufan anlatısında bilgelik tanrısı Enki, gelmekte
55	91	5.600	16.25	Bu topraklarda kamıştan bir duvarın konuşabileceği fikri bir
56	218	14.400	15.14	İngiliz gezgin Wilfred Thesiger bin dokuz yüz ellilerde yıll
57	65	4.160	15.62	Beş bin yıl boyunca ayakta kalan bu düzenin tek bir koşulu v
58	42	3.040	13.82	Taş değil, ordu değil, ticaret yolu değil.
59	3	0.480	6.25	Su.
60	105	7.040	14.91	bin dokuz yüz doksan bir yılının şubatında Körfez Savaşı bit
61	80	5.280	15.15	Basra'dan başlayıp güney vilayetlerine yayılan isyan haftala
62	86	5.760	14.93	Bastırılınca da geriye kaçacak insanlar kaldı; ve güneyde ka
63	12	0.960	12.50	Kamışın içi.
64	49	3.360	14.58	Bataklık, tarih boyunca tam olarak bunu yapmıştı.
65	128	8.000	16.00	Osmanlı tahsildarları da, İngiliz manda yönetiminin devriyel
66	110	7.840	14.03	Haritası olmayan, işaretsiz, birbirine benzeyen binlerce kan
67	42	2.720	15.44	Kamış, silahtan önce gelen bir savunmaydı.
68	178	11.040	16.12	Bağdat yönetiminin bin dokuz yüz doksan birden sonra verdiği
69	12	1.440	8.33	Suyu kesmek.
70	33	2.240	14.73	Fikir teknik olarak yeni değildi.
71	217	13.440	16.15	bin dokuz yüz ellilerde İngiliz mühendisler, Dicle ile Fırat
72	29	2.400	12.08	Projenin adı Üçüncü Nehir'di.
73	32	2.400	13.33	Onlarca yıl kâğıt üstünde kaldı.
74	69	4.320	15.97	bin dokuz yüz doksan iki aralığında, olağanüstü bir hızla ta
75	164	11.040	14.86	Uzunluğu beş yüz kilometreyi aşan bu kanal, artık yalnızca t
76	32	1.920	16.67	Üçüncü Nehir tek başına değildi.
77	85	5.920	14.36	Ardından bir dizi kanal, set ve savak geldi; hepsine zafer ç
78	56	3.840	14.58	Fıradın suyu Hammar bataklığına varmadan yön değiştirdi.
79	44	3.040	14.47	Dicle'nin kolları toprak setlerle kapatıldı.
80	44	2.880	15.28	Merkez bataklıklarını besleyen ağız tıkandı.
81	94	7.040	13.35	Resmi açıklamalarda bunlar tarımsal ıslah projeleriydi; kuru
82	25	2.240	11.16	Fiilen olan ise başkaydı.
83	66	4.640	14.22	Su çekildikçe kamış sarardı, kurudu ve tutuşmaya hazır hale 
